State Rank,NEET Rank,Percentile,NEET Score,Final Score,Gender,Category,Local,EWS,Minority
4368,106360,94.7459428,502,502,F,OC,AU,No,No
4369,106364,94.7459428,502,502,F,BCB,AU,No,No
4370,106369,94.7459428,502,502,F,BCE,OU,No,MSM
4371,106372,94.7459428,502,502,F,BCE,SVU,No,MSM
4372,106384,94.7459428,502,502,F,BCE,AU,No,MSM
4373,106392,94.7459428,502,502,F,OC,AU,No,No
4374,106405,94.7459428,502,502,M,SC,OU,No,No
4375,106431,94.7459428,502,502,F,OC,OU,No,No
4376,106444,94.7459428,502,502,F,OC,AU,No,No
4377,106445,94.7459428,502,502,F,OC,AU,No,No
4378,106450,94.7459428,502,502,F,OC,OU,No,No
4379,106469,94.7459428,502,502,M,OC,SVU,No,MSM
4380,106476,94.7459428,502,502,F,SC,AU,No,No
4381,106486,94.7459428,502,502,M,OC,OU,No,No
4382,106493,94.7459428,502,502,F,BCB,SVU,No,No
4383,106495,94.7459428,502,502,F,BCA,SVU,No,No
4384,106498,94.7459428,502,502,M,OC,OU,No,No
4385,106536,94.7459428,502,502,M,BCD,OU,No,No
4386,106551,94.7459428,502,502,F,OC,AU,No,No
4387,106552,94.7459428,502,502,F,OC,SVU,No,No
4388,106577,94.7459428,502,502,F,BCD,OU,No,No
4389,106578,94.7459428,502,502,F,OC,AU,No,No
4390,106584,94.7459428,502,502,M,SC,OU,No,No
4391,106600,94.7459428,502,502,M,BCE,SVU,No,MSM
4392,106617,94.7459428,502,502,F,OC,OU,No,No
4393,106624,94.7459428,502,502,M,OC,AU,No,No
4394,106625,94.7459428,502,502,F,BCB,OU,No,No
4395,106654,94.7459428,502,502,M,OC,SVU,No,No
4396,106656,94.7459428,502,502,M,OC,AU,No,No
4397,106657,94.7459428,502,502,F,BCD,AU,No,No
4398,106669,94.7459428,502,502,M,BCB,OU,No,No
4399,106746,94.7459428,502,502,M,BCA,AU,No,No
4400,106751,94.7459428,502,502,F,SC,OU,No,No
4401,106833,94.7459428,502,502,F,OC,NL,No,No
4402,106872,94.7459428,502,502,F,BCB,OU,No,No
4403,106876,94.7459428,502,502,F,OC,SVU,No,No
4404,106880,94.7459428,502,502,M,BCD,OU,No,No
4405,106885,94.7459428,502,502,F,OC,AU,No,No
4406,107112,94.6987535,501,501,F,SC,OU,No,No
4407,107114,94.6987535,501,501,F,BCD,OU,No,No
4408,107115,94.6987535,501,501,F,BCD,OU,No,No
4409,107118,94.6987535,501,501,F,ST,OU,No,No
4410,107124,94.6987535,501,501,M,SC,OU,No,No
4411,107128,94.6987535,501,501,F,SC,OU,No,No
4412,107136,94.6987535,501,501,F,SC,SVU,No,No
4413,107139,94.6987535,501,501,M,BCB,OU,No,No
4414,107145,94.6987535,501,501,F,SC,OU,No,No
4415,107151,94.6987535,501,501,F,BCB,AU,No,No
4416,107153,94.6987535,501,501,F,OC,OU,No,MSM
4417,107156,94.6987535,501,501,M,OC,AU,No,No
4418,107157,94.6987535,501,501,M,OC,OU,No,No
4419,107172,94.6987535,501,501,M,BCC,AU,No,No
4420,107174,94.6987535,501,501,F,BCD,SVU,No,No
4421,107177,94.6987535,501,501,F,OC,AU,No,No
4422,107183,94.6987535,501,501,M,BCA,AU,No,No
4423,107190,94.6987535,501,501,F,BCB,OU,No,No
4424,107192,94.6987535,501,501,M,BCE,SVU,No,MSM
4425,107208,94.6987535,501,501,F,BCD,OU,No,No
4426,107209,94.6987535,501,501,F,BCE,SVU,No,MSM
4427,107227,94.6987535,501,501,M,BCA,SVU,No,No
4428,107243,94.6987535,501,501,F,BCB,AU,No,No
4429,107248,94.6987535,501,501,F,OC,OU,No,No
4430,107268,94.6987535,501,501,M,OC,AU,No,No
4431,107292,94.6987535,501,501,M,OC,AU,No,No
4432,107305,94.6987535,501,501,M,BCB,SVU,No,No
4433,107309,94.6987535,501,501,F,OC,SVU,No,No
4434,107328,94.6987535,501,501,F,BCA,AU,No,No
4435,107346,94.6987535,501,501,F,BCA,OU,No,No
4436,107348,94.6987535,501,501,M,BCD,SVU,No,No
4437,107349,94.6987535,501,501,F,BCB,OU,No,No
4438,107355,94.6987535,501,501,M,BCC,AU,No,No
4439,107360,94.6987535,501,501,F,OC,OU,No,No
4440,107371,94.6987535,501,501,F,OC,AU,No,No
4441,107373,94.6987535,501,501,M,BCA,OU,No,No
4442,107385,94.6987535,501,501,M,BCD,OU,No,No
4443,107394,94.6987535,501,501,F,BCA,SVU,No,No
4444,107416,94.6987535,501,501,F,ST,NL,No,No
4445,107462,94.6987535,501,501,M,BCB,AU,No,No
4446,107474,94.6987535,501,501,F,BCD,OU,No,No
4447,107507,94.6987535,501,501,F,OC,AU,No,No
4448,107513,94.6987535,501,501,F,OC,AU,No,No
4449,107525,94.6987535,501,501,F,OC,SVU,No,MSM
4450,107527,94.6987535,501,501,F,BCB,OU,No,No
4451,107531,94.6987535,501,501,F,OC,AU,No,No
4452,107549,94.6987535,501,501,F,OC,OU,No,No
4453,107553,94.6987535,501,501,F,OC,OU,No,No
4454,107584,94.6987535,501,501,M,BCB,AU,No,No
4455,107592,94.6987535,501,501,M,SC,SVU,No,No
4456,107616,94.6987535,501,501,F,BCE,OU,No,MSM
4457,107618,94.6987535,501,501,M,OC,AU,No,No
4458,107652,94.6987535,501,501,F,BCE,OU,No,MSM
4459,107669,94.6987535,501,501,F,OC,OU,No,No
4460,107673,94.6987535,501,501,M,OC,AU,No,No
4461,107696,94.6987535,501,501,F,OC,OU,No,No
4462,107748,94.6987535,501,501,M,OC,AU,No,No
4463,107792,94.6987535,501,501,F,BCE,OU,No,MSM
4464,107842,94.6987535,501,501,F,BCC,SVU,No,No
4465,107914,94.6987535,501,501,M,OC,NL,No,No
4466,107947,94.6987535,501,501,F,BCB,AU,No,No
4467,122653,93.9397997,486,14.58,M,BCA,AU,No,No
