COLLEGE,RANK,LOC,CAT,SX,MINOR,NRI,ACDS,EWS,PHASE
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",162885,OU,BCD,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",163662,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",164086,OU,BCD,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",164451,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",164596,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",167091,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",167620,OU,BCB,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",168081,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",168732,OU,BCD,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",169192,OU,BCB,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",170159,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",171411,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",171463,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",171760,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",172047,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",172551,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",172604,OU,BCD,F,,,,,P1
