EWS,NEET Rank,Local,Category,NEET Score,State_Rank,Gender,State Rank
NO,507514,OU,SC,265,1033,F,1033
NO,507546,OU,BCE,265,1034,F,1034
NO,507762,OU,ST,265,1035,F,1035
NO,507846,OU,BCD,265,1036,F,1036
NO,507935,AU,BCE,265,1037,F,1037
NO,508064,OU,BCE,265,1038,M,1038
NO,508448,OU,BCE,265,1039,F,1039
NO,508835,OU,SC,265,1040,F,1040
NO,508919,AU,OC,265,1041,F,1041
EWS,510456,OU,OC,264,1042,M,1042
NO,510749,OU,BCB,264,1043,M,1043
NO,510844,OU,ST,264,1044,F,1044
NO,511584,OU,BCE,264,1045,F,1045
NO,513151,OU,BCD,263,1046,F,1046
NO,513216,OU,SC,263,1047,F,1047
EWS,513270,OU,OC,263,1048,F,1048
NO,513544,OU,BCE,263,1049,F,1049
NO,513863,OU,BCE,263,1050,M,1050
NO,515024,OU,BCB,263,1051,F,1051
EWS,515775,OU,OC,262,1052,F,1052
NO,516573,OU,BCA,262,1053,M,1053
NO,516995,OU,ST,262,1054,F,1054
NO,517547,OU,BCD,262,1055,F,1055
NO,518520,OU,ST,261,1056,F,1056
NO,518554,OU,SC,261,1057,F,1057
NO,518716,OU,SC,261,1058,F,1058
NO,519151,OU,SC,261,1059,F,1059
NO,519479,OU,OC,261,1060,M,1060
NO,519596,OU,BCA,261,1061,F,1061
NO,519654,OU,SC,261,1062,F,1062
NO,521335,OU,SC,260,1063,F,1063
NO,521575,OU,BCD,260,1064,F,1064
NO,521765,AU,BCD,260,1065,M,1065
NO,522145,OU,BCA,260,1066,F,1066
NO,524309,OU,BCB,259,1067,F,1067
NO,524494,SVU,BCB,259,1068,F,1068
NO,525075,SVU,BCB,259,1069,F,1069
NO,525730,OU,BCA,259,1070,F,1070
NO,527305,OU,BCB,258,1071,F,1071
NO,527325,OU,BCB,258,1072,M,1072
NO,527514,AU,SC,258,1073,F,1073
NO,528494,OU,BCA,258,1074,F,1074
NO,529816,OU,SC,257,1075,F,1075
NO,530064,OU,BCE,257,1076,M,1076
NO,530462,OU,BCB,257,1077,F,1077
NO,530725,OU,ST,257,1078,F,1078
NO,531568,OU,ST,257,1079,M,1079
NO,532553,OU,BCE,256,1080,F,1080
NO,532658,OU,BCD,256,1081,M,1081
NO,532796,OU,BCB,256,1082,F,1082
NO,532980,OU,ST,256,1083,F,1083
NO,533490,OU,BCD,256,1084,F,1084
NO,533924,OU,BCA,256,1085,F,1085
NO,535411,OU,BCE,255,1086,F,1086
NO,535636,OU,BCB,255,1087,F,1087
NO,536083,OU,SC,255,1088,F,1088
NO,536492,OU,SC,255,1089,F,1089
NO,538974,OU,BCE,254,1090,F,1090
NO,539183,OU,ST,254,1091,F,1091
NO,539276,OU,OC,254,1092,F,1092
NO,539992,OU,OC,254,1093,F,1093
NO,541384,OU,SC,253,1094,F,1094
NO,541678,OU,BCA,253,1095,F,1095
NO,541705,AU,SC,253,1096,F,1096
EWS,541731,OU,OC,253,1097,F,1097
